,Region,Year,Gender,Nationality,Population estimates
0,6,0.3333333333333333,0.0,1.0,0.16156949177426616
1,12,0.0,0.0,1.0,0.06647686585138991
2,4,0.25,0.0,1.0,0.05820293003166
3,3,0.5,1.0,1.0,0.3815364903712496
4,0,0.6666666666666666,0.0,0.0,0.0007803708574674887
5,9,0.5,0.0,0.0,0.0020067942677677356
6,1,0.25,1.0,1.0,0.049272739762091546
7,9,0.75,0.0,0.0,0.001990579535179631
8,6,0.25,0.0,1.0,0.15682771433886492
9,10,0.9166666666666666,1.0,1.0,0.1287617811087752
10,8,0.16666666666666666,0.0,1.0,0.042043622347675114
11,3,0.16666666666666666,0.0,0.0,0.09823297740521236
12,10,0.5833333333333334,1.0,0.0,0.10721210668586491
13,6,0.6666666666666666,1.0,1.0,0.1765728364313791
14,6,0.75,1.0,1.0,0.1809425594572133
15,0,0.75,1.0,0.0,0.0163111365436735
16,11,1.0,0.0,0.0,0.29420570953163894
17,10,1.0,1.0,1.0,0.1317013647203386
18,1,0.08333333333333333,1.0,1.0,0.046892122204838065
19,7,1.0,1.0,1.0,0.6071898482802213
20,6,0.75,0.0,1.0,0.18256816010250068
21,5,0.5,0.0,0.0,0.027661449355346455
22,11,1.0,0.0,1.0,0.6435364980363959
23,2,0.08333333333333333,0.0,0.0,0.021148728308004447
24,7,0.3333333333333333,0.0,1.0,0.49812896726599265
25,10,0.75,1.0,1.0,0.12250849578284287
26,3,1.0,0.0,0.0,0.11682744311061072
27,0,0.5,0.0,0.0,0.0011878028654085803
28,11,0.25,0.0,0.0,0.2640418847179683
29,2,0.9166666666666666,0.0,0.0,0.023120144977398137
30,9,0.3333333333333333,1.0,0.0,0.01584120411193826
31,12,0.08333333333333333,0.0,1.0,0.06793147477120275
32,8,0.75,0.0,1.0,0.050357357965575826
33,12,0.9166666666666666,0.0,1.0,0.08701768909400034
34,3,0.75,1.0,0.0,0.47042624404587646
35,3,0.5833333333333334,0.0,1.0,0.3744409233906952
36,12,1.0,0.0,0.0,0.00830017420519066
37,11,0.5,1.0,1.0,0.5703720868390322
38,11,0.5833333333333334,1.0,1.0,0.5820643831016543
39,10,0.6666666666666666,0.0,1.0,0.1204878452890453
40,6,0.5833333333333334,1.0,0.0,0.1863385276492146
41,11,0.9166666666666666,0.0,1.0,0.6292663541055851
42,10,0.3333333333333333,0.0,1.0,0.10908151794661343
43,12,1.0,1.0,1.0,0.09062561450151342
44,7,0.3333333333333333,1.0,1.0,0.49930556722524944
45,12,0.3333333333333333,0.0,1.0,0.07359719715080615
46,11,0.08333333333333333,1.0,0.0,0.6881022483348207
47,0,0.0,0.0,1.0,0.023730408549350424
48,0,0.0,1.0,1.0,0.023030226914864105
49,8,0.5,1.0,0.0,0.041773868160073016
50,10,0.08333333333333333,1.0,1.0,0.1001094641856357
51,2,0.75,0.0,1.0,0.19563988788839076
52,2,0.5833333333333334,1.0,1.0,0.18395407751880394
53,11,0.5833333333333334,0.0,1.0,0.5709867726107812
54,12,0.16666666666666666,1.0,1.0,0.0708141594120479
55,8,0.25,1.0,1.0,0.043369103033422694
56,12,0.5,0.0,0.0,0.008449349745001219
57,0,0.0,0.0,0.0,0.0005616193741879735
58,9,0.6666666666666666,1.0,0.0,0.017452653717876035
59,9,0.5,1.0,1.0,0.031203631392547768
60,5,0.6666666666666666,1.0,0.0,0.08362880998308656
61,5,0.8333333333333334,1.0,1.0,0.13665098554618738
62,5,0.75,0.0,0.0,0.024454175249419438
63,7,0.16666666666666666,0.0,0.0,0.3222863834277178
64,4,0.5833333333333334,1.0,1.0,0.06542880449955882
65,7,0.8333333333333334,1.0,1.0,0.58009385087222
66,3,0.16666666666666666,1.0,1.0,0.34124730208960735
67,7,1.0,0.0,0.0,0.30907874670140745
68,10,0.5,0.0,0.0,0.020451494806715965
69,6,0.25,1.0,0.0,0.16043416567977908
70,11,0.25,0.0,1.0,0.5141732977552619
71,12,0.08333333333333333,0.0,0.0,0.0063570596144962065
72,8,0.8333333333333334,0.0,0.0,0.009337917090829331
73,4,1.0,0.0,1.0,0.07325344481993834
74,2,0.9166666666666666,1.0,1.0,0.2024869272403675
75,0,0.5,1.0,1.0,0.02731504370460059
76,8,0.75,1.0,1.0,0.050449339721348345
77,3,0.8333333333333334,0.0,1.0,0.40327956233193796
78,7,1.0,0.0,1.0,0.6089489993593706
79,3,0.5833333333333334,1.0,1.0,0.3894548813273203
80,10,0.6666666666666666,1.0,1.0,0.1194704445224717
81,7,0.75,0.0,0.0,0.30644871707561694
82,9,0.6666666666666666,0.0,1.0,0.03232303756776653
83,11,0.9166666666666666,1.0,0.0,0.8376415877819926
84,1,0.5,1.0,1.0,0.053337625815269386
85,6,0.16666666666666666,1.0,1.0,0.1518863482859701
86,8,0.16666666666666666,1.0,0.0,0.028893769032042375
87,10,0.16666666666666666,1.0,1.0,0.10252545934126323
88,0,0.0,1.0,0.0,0.01318552572732657
89,8,0.6666666666666666,1.0,1.0,0.04922615925756572
90,6,0.0,0.0,1.0,0.14586478622938776
91,4,0.3333333333333333,1.0,0.0,0.03928358004785999
92,1,0.3333333333333333,0.0,0.0,0.0036091046607922166
93,6,0.0,0.0,0.0,0.04975947655305446
94,8,0.4166666666666667,0.0,0.0,0.0076766440338481064
95,11,0.0,1.0,1.0,0.48811238991302125
96,0,0.25,0.0,0.0,0.000944581876587017
97,7,0.5,0.0,0.0,0.34946139080542116
98,5,0.3333333333333333,0.0,0.0,0.026237795834110903
99,5,0.9166666666666666,1.0,0.0,0.07711608893574455
100,9,0.3333333333333333,0.0,0.0,0.001302190433484661
101,3,0.0,0.0,0.0,0.091382695106718
102,12,0.6666666666666666,0.0,1.0,0.08104300235526361
103,11,0.3333333333333333,1.0,0.0,0.8481947253769704
104,2,0.08333333333333333,1.0,0.0,0.09449327044375595
105,6,0.5833333333333334,0.0,1.0,0.17405748918698447
106,2,0.3333333333333333,0.0,0.0,0.023663780739079304
107,1,0.08333333333333333,1.0,0.0,0.022954165078359907
108,5,0.0,0.0,1.0,0.10647684226632433
109,0,0.4166666666666667,1.0,0.0,0.01994146776349014
110,11,0.3333333333333333,0.0,0.0,0.2717533167235509
111,11,0.0,1.0,0.0,0.6214125272665469
112,8,0.6666666666666666,0.0,0.0,0.0079699832870329
113,0,0.16666666666666666,0.0,0.0,0.0007217030068305298
114,6,0.3333333333333333,1.0,1.0,0.1607973756897526
115,12,0.08333333333333333,1.0,1.0,0.06914492639543252
116,9,0.25,1.0,1.0,0.02863138517743487
